CONTRACT_ID,CLIENT_TYPE_ID,AVG_EUROS_IMPORT,POWER_P1,HAS_GAS,HAS_SOLAR,ZIPCODE
8456,0,52.47,2950.00000,0,0,08500
3880,0,35.37,3950.00000,0,0,23440
7532,0,103.43,4100.00000,0,0,08907
7783,0,44.35,3150.00000,0,1,08729
2770,0,24.98,2850.00000,0,0,32373
8530,0,88.2,4100.00000,0,0,07141
2713,0,34.53,2950.00000,0,0,15160
5084,0,98.35,5650.00000,0,0,50692
4678,0,77.95,5250.00000,0,0,18003
6352,0,159.72,6400.00000,0,0,43840
4915,1,31.19,5250.00000,0,0,06800
6091,1,33.85,5650.00000,0,0,08014
5540,0,72.45,3950.00000,0,0,08191
8350,1,141.93,15050.00000,0,1,08015
8358,0,35.59,5150.00000,0,0,08970
2939,0,194.22,3950.00000,0,0,28014
3756,0,130.38,9850.00000,0,0,03150
783,0,87.36,3650.00000,0,0,28026
1388,0,34.86,3650.00000,0,0,31514
3196,0,42.2,4100.00000,0,0,28017
3039,1,178.71,4100.00000,0,0,28031
2037,0,142.23,4100.00000,0,0,46960
1864,0,131.61,5150.00000,0,1,46417
3231,0,72.76,4350.00000,0,0,28017
4075,0,110.24,4650.00000,0,0,41900
6564,0,69.31,5050.00000,0,1,08902
402,0,56.08,4100.00000,0,0,24004
3717,0,95.52,4150.00000,0,0,33300
6595,0,63.38,4650.00000,0,0,08901
2791,0,33.81,4450.00000,0,1,40590
4283,0,103.22,3650.00000,0,0,29009
231,0,48.82,2950.00000,0,0,09400
3678,0,106.07,5250.00000,0,0,28801
8809,0,36.55,2950.00000,0,0,27880
7118,0,73.77,2950.00000,0,0,08035
5298,0,117.94,5250.00000,0,1,08224
5219,0,38.94,4150.00000,0,1,50001
5685,0,56.71,3950.00000,0,0,08015
4006,0,71.95,2850.00000,0,1,41009
482,0,87.03,6400.00000,0,1,28430
8871,0,28.04,3550.00000,0,0,21260
5207,0,58.68,4100.00000,0,1,50640
2291,0,51.91,2950.00000,0,0,31621
3844,0,50.34,3950.00000,0,0,06011
3743,0,313.9,14510.00000,0,0,33192
8100,0,62.91,2950.00000,0,0,08830
7832,0,111.12,5250.00000,0,1,08840
6503,0,123.85,4050.00000,0,0,08906
